🇨🇳| 央视,#genre#
中国教育1台,http://caiyehe.7766.org:9901/tsfile/live/1031_1.m3u8
中国教育2台,http://36.129.204.120:8800/huahan87.m3u8
中国教育3台,http://36.129.204.120:8800/network02.m3u8
中国教育4台,http://36.129.204.120:880/CCN156.m3u8
中国教育4台,http://13457610200.8866.org:2018/live/有线娱乐4HD/index.m3u8
中国国际教育1,http://play.cec-tv.com.cn/channel/cec-tv1.m3u8
中国国际教育2,http://play.cec-tv.com.cn/channel/cec-tv2.m3u8
中国国际教育3,http://play.cec-tv.com.cn/channel/cec-tv3.m3u8
中国国际教育4,http://play.cec-tv.com.cn/channel/cec-tv4.m3u8
📡| 卫视,#genre#
湖南卫视,http://112.17.52.41/PLTV/88888888/224/3221233707/index.m3u8
湖南卫视,http://36.129.204.120:880/DXHNWS.m3u8
湖南卫视,http://13457610200.8866.org:2018/live/湖南卫视高清/index.m3u8
湖南卫视,http://caiyehe.7766.org:9901/tsfile/live/1056_1.m3u8
东方卫视,http://112.17.52.41/PLTV/88888888/224/3221233692/index.m3u8
东方卫视,https://live.125011.xyz/PLTV/shkk/231205/dfws/index.m3u8$r7d 官源 HD
东方卫视,http://36.129.204.120:880/dx35.m3u8
东方卫视,http://13457610200.8866.org:2018/live/东方卫视高清/index.m3u8
东方卫视,http://13457610200.8866.org:2018/live/上海东方卫视/index.m3u8
东方卫视,http://caiyehe.7766.org:9901/tsfile/live/0107_1.m3u8
江苏卫视,http://112.17.52.41/PLTV/88888888/224/3221233689/index.m3u8
江苏卫视,http://36.129.204.120:880/JSWS.m3u8
江苏卫视,http://13457610200.8866.org:2018/live/江苏卫视/index.m3u8
江苏卫视,http://13457610200.8866.org:2018/live/江苏卫视高清/index.m3u8
江苏卫视,http://caiyehe.7766.org:9901/tsfile/live/1124_1.m3u8
广东卫视,http://112.17.52.41/PLTV/88888888/224/3221233667/index.m3u8
广东卫视,http://36.129.204.120:880/CCN129.m3u8
广东卫视,http://13457610200.8866.org:2018/live/广东卫视高清/index.m3u8
广东卫视,http://caiyehe.7766.org:9901/tsfile/live/1059_1.m3u8
浙江卫视,http://112.17.52.41/PLTV/88888888/224/3221233695/index.m3u8
浙江卫视,https://i.125011.xyz/zsj.php?id=zjws
浙江卫视,http://36.129.204.120:880/DXZJWS.m3u8
浙江卫视,http://13457610200.8866.org:2018/live/浙江卫视HD/index.m3u8
浙江卫视,http://13457610200.8866.org:2018/live/浙江卫视高清/index.m3u8
浙江卫视,http://caiyehe.7766.org:9901/tsfile/live/1058_1.m3u8
北京卫视,http://112.17.52.41/PLTV/88888888/224/3221233730/index.m3u8
北京卫视,http://36.129.204.120:880/DX15.m3u8
北京卫视,http://13457610200.8866.org:2018/live/北京卫视/index.m3u8
北京卫视,http://13457610200.8866.org:2018/live/北京卫视高清/index.m3u8
北京卫视,http://caiyehe.7766.org:9901/tsfile/live/1057_1.m3u8
深圳卫视,http://112.17.52.41/PLTV/88888888/224/3221233664/index.m3u8
深圳卫视,http://36.129.204.120:880/DX16.m3u8
深圳卫视,http://13457610200.8866.org:2018/live/深圳卫视高清/index.m3u8
深圳卫视,http://caiyehe.7766.org:9901/tsfile/live/1023_1.m3u8
天津卫视,http://112.17.52.41/PLTV/88888888/224/3221233682/index.m3u8
天津卫视,http://36.129.204.120:880/DXTJWS.m3u8
天津卫视,http://13457610200.8866.org:2018/live/天津卫视高清/index.m3u8
天津卫视,http://caiyehe.7766.org:9901/tsfile/live/1024_1.m3u8
山东卫视,http://112.17.52.41/PLTV/88888888/224/3221233641/index.m3u8
山东卫视,http://36.129.204.120:880/DXSDWS.m3u8
山东卫视,http://13457610200.8866.org:2018/live/山东卫视高清/index.m3u8
山东卫视,http://caiyehe.7766.org:9901/tsfile/live/1061_1.m3u8
安徽卫视,http://112.17.52.41/PLTV/88888888/224/3221233653/index.m3u8
安徽卫视,http://36.129.204.120:880/DXXAH.m3u8
安徽卫视,http://13457610200.8866.org:2018/live/广东卫视HD/index.m3u8
安徽卫视,http://caiyehe.7766.org:9901/tsfile/live/1046_1.m3u8
江西卫视,http://36.129.204.120:880/CCN118.m3u8
江西卫视,http://caiyehe.7766.org:9901/tsfile/live/1092_1.m3u8
黑龙江卫视,http://112.17.52.41/PLTV/88888888/224/3221233694/index.m3u8
黑龙江卫视,http://36.129.204.120:880/DXHLJWS.m3u8
黑龙江卫视,http://13457610200.8866.org:2018/live/黑龙江卫视高清/index.m3u8
黑龙江卫视,http://caiyehe.7766.org:9901/tsfile/live/1027_1.m3u8
四川卫视,http://36.129.204.120:880/DXSCWS.m3u8
四川卫视,http://13457610200.8866.org:2018/live/四川卫视HD/index.m3u8
四川卫视,http://caiyehe.7766.org:9901/tsfile/live/1091_1.m3u8
贵州卫视,http://36.129.204.120:880/DXGZWS.m3u8
贵州卫视,http://13457610200.8866.org:2018/live/贵州卫视/index.m3u8
贵州卫视,http://13457610200.8866.org:2018/live/贵州卫视高清/index.m3u8
贵州卫视,http://caiyehe.7766.org:9901/tsfile/live/1062_1.m3u8
湖北卫视,http://112.17.52.41/PLTV/88888888/224/3221233668/index.m3u8
湖北卫视,http://36.129.204.120:880/DXHBWSs.m3u8
湖北卫视,http://13457610200.8866.org:2018/live/湖北卫视/index.m3u8
湖北卫视,http://13457610200.8866.org:2018/live/湖北卫视高清/index.m3u8
湖北卫视,http://caiyehe.7766.org:9901/tsfile/live/1060_1.m3u8
辽宁卫视,http://36.129.204.120:880/DX14.m3u8
辽宁卫视,http://13457610200.8866.org:2018/live/辽宁卫视HD/index.m3u8
广西卫视,http://36.129.204.120:880/DXGCWS.m3u8
广西卫视,http://13457610200.8866.org:2018/live/广西卫视HD/index.m3u8
广西卫视,http://13457610200.8866.org:2018/live/广西卫视高清/index.m3u8
广西卫视,http://caiyehe.7766.org:9901/tsfile/live/1039_1.m3u8
重庆卫视,http://112.17.52.41/PLTV/88888888/224/3221233677/index.m3u8
重庆卫视,http://36.129.204.120:880/CCN144.m3u8
重庆卫视,http://13457610200.8866.org:2018/live/重庆高清3/index.m3u8
重庆卫视,http://13457610200.8866.org:2018/live/重庆卫视HD/index.m3u8
重庆卫视,http://caiyehe.7766.org:9901/tsfile/live/1133_1.m3u8
东南卫视,http://36.129.204.120:880/CCN149.m3u8
东南卫视,http://13457610200.8866.org:2018/live/东南卫视高清/index.m3u8
东南卫视,http://13457610200.8866.org:2018/live/福建东南卫视/index.m3u8
东南卫视,http://caiyehe.7766.org:9901/tsfile/live/1029_1.m3u8
吉林卫视,http://36.129.204.120:880/DX17.m3u8
吉林卫视,http://13457610200.8866.org:2018/live/吉林卫视HD/index.m3u8
吉林卫视,http://caiyehe.7766.org:9901/tsfile/live/0116_1.m3u8
海南卫视,http://112.17.52.41/PLTV/88888888/224/3221233697/index.m3u8
海南卫视,https://live3.hnntv.cn/srs/tv/lywsgq.m3u8
海南卫视,http://36.129.204.120:880/DXHNGS.m3u8
海南卫视,http://13457610200.8866.org:2018/live/海南卫视HD/index.m3u8
海南卫视,http://caiyehe.7766.org:9901/tsfile/live/1098_1.m3u8
云南卫视,http://36.129.204.120:880/CCN128.m3u8
云南卫视,http://caiyehe.7766.org:9901/tsfile/live/1111_1.m3u8
厦门卫视,http://36.129.204.120:880/DX61.m3u8
河南卫视,https://i.125011.xyz/hndx.php?id=hnws
河南卫视,http://36.129.204.120:880/DXHNWSs.m3u8
河南卫视,http://13457610200.8866.org:2018/live/河南卫视HD/index.m3u8
河南卫视,http://caiyehe.7766.org:9901/tsfile/live/1125_1.m3u8
河北卫视,http://36.129.204.120:880/DXHBW.m3u8
河北卫视,http://13457610200.8866.org:2018/live/河北卫视高清/index.m3u8
河北卫视,http://caiyehe.7766.org:9901/tsfile/live/1004_1.m3u8
陕西卫视,http://36.129.204.120:880/SXWS.m3u8
陕西卫视,http://13457610200.8866.org:2018/live/陕西卫视/index.m3u8
陕西卫视,http://caiyehe.7766.org:9901/tsfile/live/1134_1.m3u8
山西卫视,http://36.129.204.120:880/CCN131.m3u8
山西卫视,http://13457610200.8866.org:2018/live/山西卫视HD/index.m3u8
山西卫视,http://caiyehe.7766.org:9901/tsfile/live/1131_1.m3u8
甘肃卫视,http://36.129.204.120:880/CCN139.m3u8
甘肃卫视,http://13457610200.8866.org:2018/live/电影频道HD/index.m3u8
甘肃卫视,http://caiyehe.7766.org:9901/tsfile/live/1063_1.m3u8
宁夏卫视,http://36.129.204.120:880/DXNXWS.m3u8
宁夏卫视,http://caiyehe.7766.org:9901/tsfile/live/1137_1.m3u8
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8
青海卫视,http://36.129.204.120:880/CCN146.m3u8
青海卫视,http://caiyehe.7766.org:9901/tsfile/live/1135_1.m3u8
西藏卫视,http://36.129.204.120:880/dxxz.m3u8
西藏卫视,http://13457610200.8866.org:2018/live/西藏卫视HD/index.m3u8
西藏卫视,http://caiyehe.7766.org:9901/tsfile/live/1097_1.m3u8
新疆卫视,http://36.129.204.120:880/CCN145.m3u8
新疆卫视,http://13457610200.8866.org:2018/live/新疆卫视HD/index.m3u8
新疆卫视,http://caiyehe.7766.org:9901/tsfile/live/1100_1.m3u8
